,track_name,album,artist_name,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,The holly and the ivy,Cambridge Singers Christmas Album,The Cambridge Singers,2003-09-01,178133,35,0.275,0.987,0.0419,0.000705,0.0736,-28.252,0.0471,97.655,0.0673
1,Ding Dong! Merrily on High,Carols From Cambridge: The Very Best Sacred Christmas Carols,"Choir of King's College, Cambridge",2013-01-01,129693,0,0.318,0.989,0.253,0.0392,0.06,-20.4,0.0491,80.903,0.385
2,Once In Royal David's City (Desc. Stephen Cleobury),Christmas Carols by King's College Choir,"Choir of King's College, Cambridge",2019-12-13,278453,31,0.111,0.971,0.139,0.384,0.383,-21.828,0.0475,69.97,0.0598
3,The First Nowell,Winter Songs,Ola Gjeilo,2017-11-17,275840,0,0.216,0.98,0.178,0.0135,0.124,-18.014,0.0391,86.627,0.0591
4,Somewhere in My Memory - Chorus & Orchestra Version,Home Alone (Original Motion Picture Soundtrack) [Anniversary Edition],John Williams,1990,63973,49,0.351,0.99,0.0767,0.341,0.0783,-21.396,0.0335,73.848,0.146
5,O Little Town of Bethlehem,Carols from King's,"Choir of King's College, Cambridge",2012-12-05,219133,33,0.117,0.986,0.155,0.923,0.124,-26.307,0.0391,82.866,0.198
6,The Twelve Days Of Christmas,Christmas at St. John's,"Choir of St. John's College, Cambridge",1974-12-03,247160,0,0.409,0.949,0.22,0.0,0.167,-15.398,0.0369,121.387,0.35
7,"Lully, Lulla, Lullay",Carols from Queen's,Choir of The Queen's College,2015-09-04,257906,32,0.191,0.994,0.0485,0.901,0.0772,-30.312,0.0491,85.596,0.0619
8,Carol of the Bells (arr. P.J. Wilhousky),Christmas with The Westminster Choir,Joseph Flummerfelt,2011-11-01,93333,38,0.451,0.981,0.0337,0.0,0.052,-31.278,0.0343,83.31,0.0794
9,In The Bleak Midwinter,Gabriel's Message: One Thousand Years Of Carols,Worcester Cathedral Choir,1999-08-26,221826,37,0.11,0.962,0.0562,0.0839,0.1,-28.996,0.0489,170.099,0.0704
10,Sussex Carol (On Christmas Night),Christmas With The Academy,Academy of St. Martin in the Fields Chorus,1994-01-01,90373,29,0.375,0.987,0.206,0.00666,0.224,-17.751,0.0348,91.102,0.773
11,Berlin: White Christmas,Christmas Music with The Boston Pops,Boston Pops Orchestra,2015-10-12,203013,0,0.084,0.938,0.0848,0.696,0.133,-20.952,0.0397,171.052,0.0423
12,While Shepherds Watched Their Flocks (Desc. by Stephen Cleobury),Favourite Carols from King's,Stephen Cleobury,2014-10-27,164346,27,0.132,0.931,0.182,0.811,0.178,-18.247,0.043,86.909,0.169
13,How shall I fitly meet thee?,J. S. Bach: How shall I fitly meet thee?,Johann Sebastian Bach,2021-10-01,80440,27,0.192,0.993,0.0974,0.0936,0.105,-26.001,0.0457,68.358,0.0398
14,"Walking In The Air (Excerpt ""Lifecycle""), Op.310",Walking In The Air - The Music Of Howard Blake,Howard Blake,2014-01-01,186000,30,0.242,0.993,0.0308,0.942,0.0951,-32.624,0.0747,63.07,0.104
15,Have Yourself A Merry Little Christmas (Arr. Mackay),Have Yourself A Merry Little Christmas (Arr. Mackay),Ralph Blane,2020-11-13,185226,28,0.131,0.986,0.012,0.532,0.097,-22.239,0.0467,73.668,0.0593
16,The Lamb,The John Tavener Collection,John Tavener,2003-01-01,213146,0,0.133,0.989,0.0312,0.0287,0.12,-35.098,0.0463,75.058,0.0361
17,Little Drummer Boy,The Greatest Christmas Choral Classics,The City of Prague Philharmonic Orchestra,2015-10-30,181266,24,0.336,0.879,0.339,0.00155,0.151,-14.026,0.0342,126.553,0.217
18,"The Nutcracker, Op. 71: Act II Tableau 3: Variation 2: Dance of the Sugar-Plum Fairy",Tchaikovsky: The Nutcracker,Pyotr Ilyich Tchaikovsky,2011-09-06,141373,48,0.323,0.893,0.0114,0.652,0.171,-38.855,0.0343,112.378,0.134
19,Rudolph the Red-Nosed Reindeer,A Christmas Festival,Arthur Fiedler,1987-08-25,130440,36,0.29,0.89,0.218,0.101,0.0574,-17.263,0.0331,166.608,0.663
20,A Christmas Fantasy,A Christmas Fantasy,Franz Xaver Gruber,2016-12-09,263976,0,0.258,0.943,0.27,0.00283,0.0983,-14.206,0.0464,64.74,0.0738
21,Deck The Halls With Boughs Of Holly,For The Holidays,Various Artists,2002-10-15,167013,26,0.534,0.78,0.195,0.108,0.0928,-18.406,0.0311,113.736,0.485
22,Shepherd's Pipe Carol,On Christmas Night,"The Choir of Magdalen College, Oxford",2016-11-18,188760,29,0.258,0.948,0.129,0.585,0.0995,-24.889,0.0439,126.783,0.365
23,Away in a Manger,The Wonder of Christmas,The Elora Singers,2014-11-04,166666,25,0.13,0.976,0.0121,0.0005,0.117,-36.782,0.0409,74.309,0.111
24,"Lieutenant Kijé, Op. 60: IV. Troika",Prokofiev: Lieutenant Kije Suite / Andante / Osenneye / the Tale of the Stone Flower (Excerpts),Sergei Prokofiev,1990-08-01,185400,32,0.411,0.936,0.203,0.617,0.122,-15.98,0.0357,138.406,0.283
25,The Christmas Song (Arr. for Solo Violin and Strings),Christmas with Hope,Daniel Hope,2020-11-20,249640,26,0.174,0.883,0.264,0.544,0.283,-14.538,0.0411,92.28,0.0392
26,Good King Wenceslas,Good King Wenceslas,Bob Chilcott,2021-10-22,178391,28,0.174,0.672,0.131,0.908,0.113,-20.008,0.0419,76.612,0.0396
27,"Infant Holy, Infant Lowly",Christmas Carols From Tewkesbury Abbey,Tewkesbury Abbey Choir,1994-11-10,132000,25,0.221,0.995,0.142,0.0834,0.0864,-22.049,0.0488,112.916,0.162
28,A tender shoot: A Tender Shoot,Otto Goldschmidt: A tender shoot,Otto Goldschmidt,2021-10-15,129240,24,0.115,0.992,0.12,0.0283,0.151,-25.364,0.0485,82.267,0.0713
29,O Magnum Mysterium: O magnum mysterium,Lauridsen: O Magnum Mysterium / Lux Aeterna / Madrigali / Les Chansons Des Roses,Morten Lauridsen,2006-01-01,415800,51,0.0623,0.991,0.0116,0.445,0.0816,-27.893,0.0567,65.057,0.0331
30,Carol of the Bells (arr. piano),Carol of the Bells (arr. piano) / Christmas Time Is Here (arr. piano),Stephan Moccio,2020-10-22,293146,35,0.298,0.984,0.0803,0.955,0.105,-30.916,0.0339,141.882,0.342
31,Happy Christmas (War is Over) [Arr. Metcalfe for Saxophone and Ensemble],Happy Christmas (War is Over) [Arr. Metcalfe for Saxophone and Ensemble],Jess Gillam,2021-10-15,189752,23,0.254,0.912,0.165,0.656,0.124,-11.911,0.0376,143.645,0.177
32,A Spotless Rose,"Choral Music - Paulus, S. / Britten, B. / Mcdowall, C. / Howells, H. / Busto, J. / Willan, H. / Belmont, J. (Spotless Rose)",Phoenix Chorale,2008-09-30,219746,25,0.113,0.989,0.0715,0.265,0.108,-31.734,0.0567,74.647,0.0629
33,Herefordshire Carol (This is the Truth Sent from Above) [Live],Carols From King's (2020 Collection) [Live],"Choir of King's College, Cambridge",2020-12-11,154760,24,0.171,0.979,0.0946,0.0844,0.0772,-26.261,0.0408,73.091,0.236
34,See Amid The Winter's Snow,Classical Christmas Carols,Various Artists,2018-11-09,235760,22,0.159,0.977,0.144,0.645,0.101,-22.032,0.0422,75.897,0.148
35,O Tannenbaum,The Classic Christmas Album,Various Artists,1996-01-01,98000,23,0.317,0.994,0.0543,0.0277,0.168,-23.239,0.0777,81.111,0.29
36,In the Bleak Midwinter,Harold Darke: In the bleak midwinter,Harold Darke,2021-10-29,297853,35,0.166,0.958,0.131,0.35,0.11,-26.24,0.0553,72.244,0.035
