,track_name,album,artist_name,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,Se Rompen,Se Rompen,Waleed,2021-08-06,322418,28,0.808,0.18,0.719,0.691,0.107,-9.671,0.162,130.997,0.359
1,Chameleon,Chameleon,Anthony Naples,2021-09-03,299821,33,0.617,0.0047,0.618,0.675,0.281,-11.498,0.0516,149.974,0.301
2,Echoes - Radio Edit 1,Echoes (Anniversary Edition),Directions,2021-09-03,278622,20,0.676,0.378,0.609,0.933,0.102,-9.195,0.032,92.542,0.784
3,Breathe Me - Four Tet Remix,Colour The Small One (Deluxe Edition),Sia,2004-01-01,301106,29,0.836,0.0694,0.478,0.0318,0.0823,-9.978,0.0789,120.005,0.633
4,Main Akeli Raat Jawan,Purana Mandir (Original Motion Picture Soundtrack),Ajit Singh,1984-01-01,327000,22,0.694,0.423,0.721,6.59e-05,0.146,-5.836,0.0595,111.381,0.853
5,Echoes - Radio Edit 2,Echoes (Anniversary Edition),Directions,2021-09-03,267008,18,0.715,0.544,0.449,0.823,0.0736,-16.516,0.0656,92.018,0.815
6,I Don't Know If That's Just Dreaming,Chameleon,Anthony Naples,2021-09-03,316216,26,0.609,0.0527,0.912,0.859,0.285,-10.483,0.0358,94.001,0.908
7,Mam Pe'ela Su'ure,Mam Pe'ela Su'ure,Florence Adooni,2021-03-12,229009,29,0.619,0.412,0.807,0.0,0.256,-6.78,0.0372,94.098,0.965
8,Fang Jai Viangjan,"The Sound of Siam, Vol. 2 (Molam & Luk Thung Isan From North-East Thailand 1970 - 1982)",Various Artists,2014-05-26,248453,26,0.479,0.663,0.461,0.0,0.124,-6.716,0.154,166.376,0.569
9,Dance Of The Inhabitants Of The Invisible City Of Bladensburg,The Yellow Princess,John Fahey,1968,250000,22,0.205,0.0727,0.183,0.821,0.139,-20.052,0.0491,87.684,0.0348
10,GREEN SPORE VALLEY,META,2hollis,2021-08-05,221250,27,0.596,0.431,0.452,0.0,0.896,-10.286,0.0702,127.422,0.275
11,It Goes,More Is Different,Nikki Nair,2021-08-20,438013,28,0.734,0.00166,0.728,0.665,0.374,-8.294,0.12,140.976,0.183
12,swag w/ kav,still slipping vol. 1,Joy Orbison,2021-08-13,244706,48,0.802,0.000481,0.564,0.257,0.119,-12.018,0.0672,134.018,0.331
13,The Wrong Wolf,The Neverending Story,Ferro,2017-04-17,471496,21,0.849,0.00269,0.754,0.879,0.199,-10.871,0.241,126.988,0.369
14,Hi,But You Caint Use My Phone (Mixtape),Erykah Badu,2015-11-27,35449,39,0.0,0.88,0.307,0.00196,0.198,-9.69,0.0,0.0,0.0
15,Good Vybe,Now Thing 2,Various Artists,2021-07-02,224952,23,0.758,0.000275,0.652,0.901,0.0653,-5.534,0.0553,94.999,0.5
16,You Get Me Everytime - A1,Mixing Potions,Persian,2014-07-21,300714,19,0.953,0.0924,0.927,1.99e-05,0.0765,-6.77,0.325,129.052,0.782
17,in drink,still slipping vol. 1,Joy Orbison,2021-08-13,175280,40,0.802,0.0929,0.504,0.683,0.216,-13.597,0.0555,122.009,0.0943
18,Echoes - Continental Drift Version,Echoes (Continental Drift Version),Directions,2021-08-03,563729,31,0.667,0.342,0.529,0.92,0.0884,-10.05,0.0387,92.505,0.714
19,Drum Story,Spirit Walk,Steve Reid Ensemble,2021-07-30,870426,16,0.386,0.146,0.447,0.377,0.108,-16.914,0.1,181.267,0.482
20,One String Boogie,"Living Country Blues USA, Vol. 10 - Country Boogie",Various Artists,1982,300493,17,0.649,0.886,0.624,0.0728,0.298,-9.706,0.491,164.542,0.961
21,Little Umbrellas - 1969 Rhythm Track Mix,The Hot Rats Sessions,Frank Zappa,2019-12-20,190786,17,0.45,0.557,0.511,0.809,0.135,-15.481,0.0301,135.809,0.418
22,Send In The Clowns,From Broadway To Hollywood,Lorez Alexandria,2011-03-16,237240,32,0.684,0.471,0.361,0.0108,0.0994,-12.936,0.153,127.152,0.508
23,Pata Das Ni,Tahira Syed,Tahira Syed,1976-01-01,352053,16,0.554,0.952,0.361,0.00652,0.14,-13.292,0.0397,74.109,0.728
24,Moto centripeto,Here and Now No. 1,Lesiman,1973-08-10,161186,18,0.412,0.604,0.382,0.693,0.113,-15.227,0.0336,125.847,0.491
25,Cuídese de los ángeles que caen,Música de Rafael Aponte Ledée,Various Artists,2017-12-29,432810,15,0.277,0.992,0.209,0.881,0.546,-20.466,0.0583,105.276,0.0674
26,First Stage,Osho Kundalini Meditation,OSHO,1978,880533,29,0.617,0.909,0.725,0.941,0.103,-15.626,0.0537,132.791,0.627
27,Crab Ride,Fief Fief,Karima F,2021-06-11,323420,20,0.792,3.94e-05,0.948,0.772,0.0733,-3.873,0.0787,131.006,0.496
28,LOST IN ABYSS,LOST IN ABYSS EP,SCOTTIE DEE,2020-08-10,435153,23,0.824,0.000381,0.76,0.94,0.0731,-4.981,0.0566,119.997,0.536
29,Strangers,Agor,Koreless,2021-07-09,345560,28,0.353,0.371,0.316,0.0646,0.28,-11.159,0.0327,159.942,0.0859
30,Anthropology,Epitome,Jayla Kai,2021-07-16,276306,16,0.629,0.964,0.0441,3.14e-05,0.0971,-18.113,0.0426,143.58,0.4
31,Swapnaman Aavi Mane,Vavajodu (Original Motion Picture Soundtrack),Avinash Vyas,1984-12-31,395413,13,0.351,0.666,0.421,0.000672,0.281,-11.136,0.0461,77.395,0.62
32,BMW Track,BMW Track / So U Kno,Overmono,2021-06-16,443800,37,0.738,0.0153,0.914,0.876,0.61,-5.998,0.0479,133.994,0.829
33,Pattern 11,Tracks On Delivery,Roman Flügel,2020-10-23,311405,14,0.781,0.000129,0.895,0.877,0.107,-12.305,0.101,135.976,0.349
34,Safe In My Arms,Safe In My Arms / YourLove,Logic1000,2021-07-14,218226,42,0.839,0.167,0.737,0.881,0.119,-7.29,0.0509,121.994,0.502
35,Victor and Carolyn,Start Breaking My Heart (Special Edition),Caribou,2001-03-26,357933,24,0.733,0.176,0.608,0.753,0.0944,-12.967,0.0691,130.012,0.378
36,Teenage Birdsong,Sixteen Oceans,Four Tet,2020-03-13,205421,44,0.633,0.475,0.866,0.723,0.0955,-7.166,0.0558,195.986,0.0625
37,Ever Never,Beautiful Rewind,Four Tet,2013-10-04,31621,18,0.474,0.984,0.0647,3.8e-05,0.218,-29.876,0.507,118.578,0.16
38,Angels - Four Tet Remix,Angels (Four Tet Remix),The xx,2013-02-18,325089,0,0.529,0.934,0.318,0.807,0.102,-19.871,0.061,92.108,0.343
39,Parallel 3,Parallel,Four Tet,2020-12-25,48168,29,0.379,0.988,0.128,0.861,0.1,-20.533,0.0994,67.686,0.0657
