,track_name,album,artist_name,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,95,0.563,0.335,0.664,0.0,0.0849,-5.044,0.154,166.928,0.688
1,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,141805,92,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,0.478
2,Beautiful Mistakes (feat. Megan Thee Stallion),Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,2021-03-03,227395,43,0.713,0.0377,0.676,0.0,0.154,-5.483,0.027,99.048,0.721
3,Raise Your Glass,Raise Your Glass,P!nk,2010-10-05,202960,77,0.7,0.0048,0.709,0.0,0.029,-5.006,0.0838,122.019,0.624
4,Leave Before You Love Me (with Jonas Brothers),Leave Before You Love Me,Marshmello,2021-05-21,154983,88,0.721,0.00226,0.738,4.41e-06,0.118,-4.77,0.0403,119.976,0.637
5,Anyone,Anyone,Justin Bieber,2021-01-01,190779,79,0.686,0.181,0.538,3.13e-06,0.113,-8.026,0.0345,115.884,0.584
6,What Makes You Beautiful,Up All Night,One Direction,2012-05-25,199986,82,0.726,0.009,0.787,0.0,0.0596,-2.494,0.0737,124.99,0.888
7,willow,evermore,Taylor Swift,2020-12-11,214706,80,0.392,0.833,0.574,0.00179,0.145,-9.195,0.17,81.112,0.529
8,drivers license,SOUR,Olivia Rodrigo,2021-05-21,242013,90,0.561,0.768,0.431,1.42e-05,0.106,-8.81,0.0578,143.875,0.137
9,Summer of Love (Shawn Mendes & Tainy),Summer Of Love,Shawn Mendes,2021-08-20,184104,85,0.776,0.0297,0.808,0.000127,0.103,-4.501,0.117,123.988,0.494
10,Like I Can,In The Lonely Hour,Sam Smith,2014-05-26,167065,86,0.656,0.343,0.627,2.17e-05,0.124,-6.627,0.0379,99.933,0.481
11,Bad Habits,Bad Habits,Ed Sheeran,2021-06-25,231041,96,0.808,0.0469,0.897,3.14e-05,0.364,-3.712,0.0348,126.026,0.591
12,Story of My Life,Midnight Memories (Deluxe),One Direction,2013-11-25,245493,82,0.6,0.225,0.663,0.0,0.119,-5.802,0.0477,121.07,0.286
13,Hold On,Hold On,Justin Bieber,2021-03-05,170813,80,0.658,0.0106,0.634,0.0,0.132,-5.797,0.0413,139.98,0.29
