,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Moments In Love,(Who's Afraid Of) The Art Of Noise? [Remastered],The Art Of Noise,1984-06-19,615693,50,0.696,0.28,0.696,0.234,0.0511,0.311,-14.991,0.112,138.118,4
1,Camino Del Sol,Camino Del Sol,Antena,2004-03-01,222680,38,0.513,0.717,0.513,0.466,0.68,0.103,-16.49,0.0465,168.378,4
2,Nipple To The Bottle,The Collection,Grace Jones,2004-01-01,351986,13,0.871,0.00649,0.871,0.692,0.0638,0.0693,-9.666,0.095,102.233,4
3,Lullaby - Extended Mix,Mixed Up,The Cure,1990-10-09,465066,19,0.667,0.0532,0.667,0.525,0.621,0.0366,-13.872,0.044,93.891,4
4,Music For A Found Harmonium - 2008 Digital Remaster,Broadcasting From Home,Penguin Cafe Orchestra,1984,219733,40,0.382,0.915,0.382,0.225,0.921,0.05,-12.962,0.0459,97.045,4
5,Josephine - French Edit,The Works,Chris Rea,2007-11-10,428234,39,0.724,0.018,0.724,0.489,0.108,0.101,-12.253,0.0311,110.069,4
6,Walking In The Rain,Collection,Flash and the Pan,1995-01-01,208933,39,0.576,0.914,0.576,0.175,0.14,0.111,-16.024,0.0412,117.57,4
7,No G.D.M.,Nice Mover,Gina X Performance,1979,357040,36,0.774,0.0469,0.774,0.396,0.0103,0.211,-12.041,0.0388,110.297,4
8,Going Back to My Roots,Connections,Richie Havens,1980,303573,46,0.669,0.396,0.669,0.816,0.0383,0.162,-10.759,0.0336,120.39,4
9,Sueno Latino - Paradise Version,Sueno Latino,Sueño Latino,1989-01-01,634893,36,0.663,0.0314,0.663,0.741,0.769,0.8,-14.142,0.0525,117.985,4
10,T.V. Scene - Sensurround Mix,T.V. Scene (Sensurround Mix),Linda Di Franco,2019-07-05,438408,28,0.725,0.271,0.725,0.375,0.78,0.0372,-17.581,0.0679,95.531,4
11,Stop Bajon,Il Meglio di Tullio De Piscopo,Tullio De Piscopo,1999-07-01,308013,40,0.743,0.0473,0.743,0.745,0.00292,0.0728,-8.04,0.0443,103.974,4
12,Promised Land,Promised Land,Joe Smooth,1988-12-11,331706,52,0.718,0.0026,0.718,0.93,0.0176,0.0363,-4.532,0.038,128.736,4
13,Barefoot in the Head,The Apple,A Man Called Adam,1991-11-13,432772,36,0.644,0.141,0.644,0.794,0.317,0.721,-12.97,0.0551,121.056,4
14,Kaw-Liga,Stars and Hank Forever,The Residents,1986-01-01,293306,24,0.81,0.0176,0.81,0.478,0.549,0.127,-14.052,0.0328,117.941,4
15,State of Independence,Donna Summer,Donna Summer,1982-07-19,351493,32,0.749,0.181,0.749,0.699,0.0949,0.0594,-8.683,0.138,169.522,4
16,"Why - 12"" Version",Soup for One (Original Motion Picture Soundtrack),Various Artists,1982-01-01,493989,40,0.676,0.00576,0.676,0.861,0.00916,0.02,-8.991,0.0537,92.361,4
17,Hoomba-Hoomba,Hoomba-Hoomba,Jasper van't Hofs Pili Pili,1995-10-25,910333,11,0.695,0.126,0.695,0.601,0.703,0.0585,-12.129,0.0548,91.311,4
18,Driving Away From Home (Jim's Tune),Life's Hard And Then You Die,It's Immaterial,1986-01-01,253133,41,0.592,0.035,0.592,0.735,0.257,0.344,-14.232,0.0405,111.964,4
19,I Just Can't Wait,Mandy (Special Edition),Mandy Smith,1988-04,205573,27,0.771,0.308,0.771,0.95,3.61e-05,0.277,-3.995,0.0319,114.122,4
20,Smokebelch II,Sabresonic II,The Sabres Of Paradise,1995-07-27,763640,24,0.544,0.00546,0.544,0.654,0.843,0.223,-10.846,0.036,127.894,4
21,Jibaro (Enrolle),Angeles y Demonios,Elkin & Nelson,1974-03-01,450185,0,0.481,0.15,0.481,0.962,0.0508,0.0872,-8.932,0.0916,107.657,4
